track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_popularity,youtube_views,tiktok_views,airplay_spins,siriusxm_spins,pandora_streams,soundcloud_streams,shazam_counts,explicit_track
Nonstop,Scorpion,Drake,6/29/2018,USCM51800191,"1,239",42.6,"1,118,459,427",71.0,"409,939,539","2,167,216,619",242,107,"283,709,268","6,347,238","4,021,390",1
Go Stupid,Go Stupid,Polo G,2/14/2020,USQX92000261,"1,241",42.5,"416,388,749",69.0,"122,253,253","940,333,420","9,098",125,"18,692,714","80,439,766","1,046,790",1
Fantasias,Fantasias,Rauw Alejandro,8/29/2019,QM6P41989279,"1,253",42.3,"663,578,551",67.0,"1,120,507,756","121,300,058","18,961",53,"53,117,205","7,834,351","1,795,507",0
Marea (Weï¿½ï¿½ï¿½ve Lost Da,Marea (Weï¿½ï¿½ï¿½ve Lost Da,Fred again..,2/22/2021,GBAHS2100041,"1,259",42.2,"336,943,720",71.0,"31,888,669","155,341,425","61,528",27,"1,787,403","6,270,623","5,947,514",0
Fall In Love,Fall In Love,Bailey Zimmerman,2/11/2022,USWB12200122,"1,262",42.2,"262,185,115",71.0,"121,592,933","149,251,921","187,078",123,"177,097,668","7,478,229","1,389,636",0
BOMBï¿½,LEGENDADDY,Daddy Yankee,3/25/2022,USUG12201723,"1,272",42.0,"129,335,327",60.0,"215,778,342","2,692,316,483","15,812",62,"12,393,972","439,602","914,770",1
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Highlights (Deluxe),The Weeknd,2/5/2021,USUG12303881,"1,269",42.0,"939,627,795",87.0,"371,522,364","265,186,570","26,883",216,"6,907,370","6,332,660","4,254,554",0
Get You The Moon (feat. Snï¿½ï,Get You The Moon (feat. Snï¿½ï,Kina,10/8/2018,USSM11808093,"1,270",42.0,"1,020,435,750",69.0,"199,282,045","21,650,351,404","2,225",95,"91,698,638","958,439","7,130,025",0
Never Felt So Alone,Never Felt So Alone,Labrinth,4/7/2023,USSM12302165,"1,275",41.9,"269,669,185",67.0,"29,035,288","531,883,271","10,042",444,"5,505,845","3,725,738","1,595,888",0
Giving Me,Giving Me,Jazzy,3/10/2023,GBUM72206719,"1,284",41.6,"150,463,218",67.0,"57,191,900","275,361,521","55,943",250,"31,188","8,850,596","1,009,861",0
What Do You Mean?,Full Circle: The Live Anthology,Justin Bieber,11/20/2011,USUM71511919,"1,282",41.6,"1,599,742,798",74.0,"2,719,936,771","155,713,369","83,466",246,"383,946,248","346,764","6,038,700",0
TV,Guitar Songs,Billie Eilish,7/21/2022,USUM72213724,"1,285",41.5,"572,602,278",76.0,"115,201,405","104,843,270","5,214",33,"4,031,121","7,208,492","1,521,109",0
Tiroteo - Remix,Tiroteo (Remix),Marc Seguï¿,4/1/2021,USWL12100143,"1,288",41.5,"654,941,874",75.0,"556,407,060","187,609,192","26,498",15,"335,231","457,443","2,646,335",0
Karma,Midnights,Taylor Swift,10/21/2022,USUG12205717,"1,297",41.3,"777,305,444",75.0,"97,902,815","937,766,809","31,306",405,"59,480,642","187,009","1,124,725",1
